"","UnitCode","Year","Month","RecreationVisits","No_Smoke_Mean_est"
"1","BISC",1981,"06",23785,32427.1948888889
"2","BISC",1981,"07",33116,33015.926962963
"3","BISC",1981,"08",25406,32745.3872962963
"4","BISC",1982,"06",26400,31999.6806666667
"5","BISC",1982,"07",40160,34579.829
"6","BISC",1982,"08",34391,32557.0019259259
"7","BISC",1983,"06",24855,32649.4888888889
"8","BISC",1983,"07",41397,36797.3107777778
"9","BISC",1983,"08",31134,34937.3437777778
"10","BISC",1984,"06",32917,32418.5676666667
"11","BISC",1984,"07",38562,37080.2431481481
"12","BISC",1984,"08",35796,34038.4177037037
"13","BISC",1985,"06",51590,34716.6462592593
"14","BISC",1985,"07",45832,36302.4520740741
"15","BISC",1985,"08",62631,35389.3828518518
"16","BISC",1986,"06",48757,40517.1043333333
"17","BISC",1986,"07",62417,38464.9634074074
"18","BISC",1986,"08",65565,44600.7536296296
"19","BISC",1987,"06",59204,39624.3204814815
"20","BISC",1987,"07",63423,44374.7842962963
"21","BISC",1987,"08",70386,45641.6588888889
"22","BISC",1988,"06",46593,43297.0394814815
"23","BISC",1988,"07",63924,44998.3744444444
"24","BISC",1988,"08",38451,47479.7582222222
"25","BISC",1989,"06",42573,38771.9379259259
"26","BISC",1989,"07",60472,45058.4451851852
"27","BISC",1989,"08",41571,36294.1356296296
"28","BISC",1990,"06",43176,37586.4674074074
"29","BISC",1990,"07",47647,43696.7414814815
"30","BISC",1990,"08",43951,37295.7132962963
"31","BISC",1991,"06",49489,37728.5995925926
"32","BISC",1991,"07",41968,39176.818037037
"33","BISC",1991,"08",47994,37988.9222222222
"34","BISC",1992,"06",38124,39877.6177037037
"35","BISC",1992,"07",60529,37343.7642962963
"36","BISC",1992,"08",0,39324.9606296296
"37","BISC",1993,"06",1139,36180.169
"38","BISC",1993,"07",1683,43986.2915925926
"39","BISC",1993,"08",1844,26196.2764814815
"40","BISC",1994,"06",1663,26500.4854444444
"41","BISC",1994,"07",1916,26538.8585925926
"42","BISC",1994,"08",1582,26668.8178518519
"43","BISC",1995,"06",52711,26578.7962222222
"44","BISC",1995,"07",71376,26616.0178148148
"45","BISC",1995,"08",67551,26585.9705925926
"46","BISC",1996,"06",34949,40926.5349259259
"47","BISC",1996,"07",46604,47752.282037037
"48","BISC",1996,"08",31433,46349.5824074074
"49","BISC",1997,"06",38758,35152.3681111111
"50","BISC",1997,"07",56364,38811.8551851852
"51","BISC",1997,"08",45815,34098.9777037037
"52","BISC",1998,"06",48151,36307.4330740741
"53","BISC",1998,"07",54320,42160.9065555556
"54","BISC",1998,"08",46566,38670.2246296296
"55","BISC",1999,"06",31061,39442.8757407407
"56","BISC",1999,"07",70367,41258.9595925926
"57","BISC",1999,"08",46261,38779.3601851852
"58","BISC",2000,"06",32702,34046.8112222222
"59","BISC",2000,"07",44738,47618.2024444444
"60","BISC",2000,"08",32282,38711.7538888889
"61","BISC",2001,"06",52035,34607.6272592593
"62","BISC",2001,"07",55535,38228.3422592593
"63","BISC",2001,"08",52212,34416.7131481481
"64","BISC",2002,"06",47671,40708.6981481481
"65","BISC",2002,"07",55980,41948.1912962963
"66","BISC",2002,"08",55421,40710.7808148148
"67","BISC",2003,"06",30740,39152.7208518519
"68","BISC",2003,"07",60014,42209.659
"69","BISC",2003,"08",56524,41895.1788888889
"70","BISC",2004,"06",61395,33978.3142592593
"71","BISC",2004,"07",68247,43533.9137777778
"72","BISC",2004,"08",43648,42450.1353333333
"73","BISC",2005,"06",61005,44055.6167777778
"74","BISC",2005,"07",87592,46562.110037037
"75","BISC",2005,"08",45859,37980.5491481482
"76","BISC",2006,"06",65065,43804.4908888889
"77","BISC",2006,"07",83212,54962.3214814815
"78","BISC",2006,"08",47226,38645.5863333333
"79","BISC",2007,"06",52932,45489.3978518518
"80","BISC",2007,"07",62126,53092.5624814815
"81","BISC",2007,"08",52222,39130.4874444444
"82","BISC",2008,"06",48754,41014.9648888889
"83","BISC",2008,"07",75299,44380.0484814815
"84","BISC",2008,"08",45413,40734.8220740741
"85","BISC",2009,"06",53902,39547.5974074074
"86","BISC",2009,"07",60824,49526.4057777778
"87","BISC",2009,"08",46295,38394.6943333333
"88","BISC",2010,"06",61808,41303.985
"89","BISC",2010,"07",59771,43869.0563703704
"90","BISC",2010,"08",54211,38762.9786296296
"91","BISC",2011,"06",46740,44283.9638148148
"92","BISC",2011,"07",71509,43396.2108888889
"93","BISC",2011,"08",48281,41531.0656666667
"94","BISC",2012,"06",49160,38894.5796666667
"95","BISC",2012,"07",65594,48032.4904814815
"96","BISC",2012,"08",46782,39387.4116666667
"97","BISC",2013,"06",55272,39681.0351111111
"98","BISC",2013,"07",48572,45642.4609259259
"99","BISC",2013,"08",61031,38845.4464444444
"100","BISC",2014,"06",58909,41901.8988518519
"101","BISC",2014,"07",60348,39711.1366296296
"102","BISC",2014,"08",62131,43906.6806666667
"103","BISC",2015,"06",51499,43125.719037037
"104","BISC",2015,"07",59061,43783.7918518518
"105","BISC",2015,"08",53480,44295.6557037037
"106","BISC",2016,"06",43964,40475.396
"107","BISC",2016,"07",70830,43192.0777037037
"108","BISC",2016,"08",46961,41250.6948518519
"109","BISC",2017,"06",46085,38056.7858888889
"110","BISC",2017,"07",65142,47784.5215925926
"111","BISC",2017,"08",41633,38941.4804074074
"112","BISC",2018,"06",52446,38799.7065185185
"113","BISC",2018,"07",54859,45551.1461111111
"114","BISC",2018,"08",46332,37323.3417777778
"115","GLAC",1981,"06",260397,370602.290148148
"116","GLAC",1981,"07",571302,522560.641481481
"117","GLAC",1981,"08",510227,501025.91462963
"118","GLAC",1982,"06",237560,383446.927407407
"119","GLAC",1982,"07",529862,638371.445259259
"120","GLAC",1982,"08",513554,579243.837407407
"121","GLAC",1983,"06",310923,369007.965185185
"122","GLAC",1983,"07",689489,597385.512259259
"123","GLAC",1983,"08",673399,582275.534888889
"124","GLAC",1984,"06",321531,416540.230407407
"125","GLAC",1984,"07",628414,774702.28737037
"126","GLAC",1984,"08",545651,755594.320037037
"127","GLAC",1985,"06",296523,424458.324777778
"128","GLAC",1985,"07",487859,702089.268148148
"129","GLAC",1985,"08",423209,615173.669555556
"130","GLAC",1986,"06",270600,408316.973407407
"131","GLAC",1986,"07",465816,558918.525111111
"132","GLAC",1986,"08",459919,502252.704851852
"133","GLAC",1987,"06",282364,388639.001185185
"134","GLAC",1987,"07",501229,537077.952740741
"135","GLAC",1987,"08",436118,532086.068592593
"136","GLAC",1988,"06",290208,397719.554592593
"137","GLAC",1988,"07",583916,570554.391185185
"138","GLAC",1988,"08",508564,511857.55862963
"139","GLAC",1989,"06",300384,402662.025259259
"140","GLAC",1989,"07",586500,652623.440259259
"141","GLAC",1989,"08",499464,576577.889962963
"142","GLAC",1990,"06",288607,410671.079740741
"143","GLAC",1990,"07",627322,654111.050148148
"144","GLAC",1990,"08",593055,567578.93637037
"145","GLAC",1991,"06",300610,401882.376481481
"146","GLAC",1991,"07",646943,702215.238555556
"147","GLAC",1991,"08",643324,661338.428481482
"148","GLAC",1992,"06",366534,411026.162444444
"149","GLAC",1992,"07",647193,724163.682037037
"150","GLAC",1992,"08",609629,720724.469407407
"151","GLAC",1993,"06",340288,456214.145888889
"152","GLAC",1993,"07",626668,724642.662851852
"153","GLAC",1993,"08",624559,682229.011666667
"154","GLAC",1994,"06",327882,437440.261185185
"155","GLAC",1994,"07",666871,701552.537037037
"156","GLAC",1994,"08",595936,697161.492518518
"157","GLAC",1995,"06",249808,428415.930592593
"158","GLAC",1995,"07",552643,749140.819074074
"159","GLAC",1995,"08",515842,666042.861333333
"160","GLAC",1996,"06",251397,377233.480148148
"161","GLAC",1996,"07",515064,618190.233037037
"162","GLAC",1996,"08",477618,584418.272888889
"163","GLAC",1997,"06",209675,377487.609666667
"164","GLAC",1997,"07",517028,582911.21337037
"165","GLAC",1997,"08",517010,547769.96362963
"166","GLAC",1998,"06",255237,352547.139888889
"167","GLAC",1998,"07",540488,583495.647592593
"168","GLAC",1998,"08",528716,583812.790888889
"169","GLAC",1999,"06",232339,381528.201259259
"170","GLAC",1999,"07",526595,606891.794925926
"171","GLAC",1999,"08",491717,596337.473888889
"172","GLAC",2000,"06",243723,366990.608666667
"173","GLAC",2000,"07",514937,592872.139444444
"174","GLAC",2000,"08",522578,561541.343481481
"175","GLAC",2001,"06",230625,372302.175666667
"176","GLAC",2001,"07",490693,583519.710814815
"177","GLAC",2001,"08",485240,588562.436037037
"178","GLAC",2002,"06",225695,367265.623888889
"179","GLAC",2002,"07",585823,559474.554222222
"180","GLAC",2002,"08",549161,555892.55162963
"181","GLAC",2003,"06",370232,363658.578962963
"182","GLAC",2003,"07",490284,654786.741555556
"183","GLAC",2003,"08",261481,615912.442148148
"184","GLAC",2004,"06",281589,459387.806222222
"185","GLAC",2004,"07",541644,558837.441888889
"186","GLAC",2004,"08",602042,383427.558666667
"187","GLAC",2005,"06",286605,397748.053740741
"188","GLAC",2005,"07",561774,607037.198037037
"189","GLAC",2005,"08",498836,670398.758851852
